date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-04-11 01:00:00 EDT",1712811600,,,,,,,,,,,,,,,,,,,
"2024-04-11 00:00:00 EDT",1712808000,99.33,101.41,E,9,6,,45,1.5,13.2,,,24100,,,7,,,13.7,13.2
"2024-04-10 23:00:00 EDT",1712804400,99.37,101.45,ENE,7,5,,43,1.4,13.6,,,24100,,,7,,,14,13.3
"2024-04-10 22:00:00 EDT",1712800800,99.4,101.48,ENE,7,7,,42,1.2,13.8,,,24100,,,6,,,14.3,13.5
"2024-04-10 21:00:00 EDT",1712797200,99.39,101.48,NE,4,12,,42,0.8,13.5,,,24100,,,6,,,14.8,13.5
"2024-04-10 20:00:00 EDT",1712793600,99.36,101.45,NNE,1,18,,47,3.1,14.3,,,24100,,,5,,,16.3,14.2
"2024-04-10 19:00:00 EDT",1712790000,99.32,101.4,N,1,17,,41,3,16.3,,,24100,,,7,,,17.7,16.3
"2024-04-10 18:00:00 EDT",1712786400,99.34,101.42,WNW,29,12,,36,2.2,17.5,,,24100,,,8,,,18.3,17.4
"2024-04-10 17:00:00 EDT",1712782800,99.27,101.35,NW,33,19,,36,3,18.2,,,24100,,,7,,,18.6,17.5
"2024-04-10 16:00:00 EDT",1712779200,99.27,101.35,NW,31,15,,36,2.8,18.2,,,24100,,,8,,,18.7,17.3
"2024-04-10 15:00:00 EDT",1712775600,99.34,101.42,W,28,22,35,34,1.8,17.9,,,24100,,,8,,,18.1,17
"2024-04-10 14:00:00 EDT",1712772000,99.36,101.44,W,28,22,32,36,2.2,17.6,,,24100,,,7,,,17.9,16.7
"2024-04-10 13:00:00 EDT",1712768400,99.38,101.46,W,28,14,31,41,3.7,16.9,,,24100,,,7,,,17.8,16.4
"2024-04-10 12:00:00 EDT",1712764800,99.37,101.45,NW,31,18,27,42,3.7,16.7,,,24100,,,5,,,16.7,15.1
"2024-04-10 11:00:00 EDT",1712761200,99.38,101.46,WNW,28,14,,50,5,15.4,,,24100,,,6,,,15.4,13
