date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-04-11 23:00:00 EDT",1712890800,97.16,99.2,E,10,12,,100,13.8,13.8,,,4800,,,8,,,14.3,13.8
"2024-04-11 22:00:00 EDT",1712887200,97.24,99.29,E,8,18,27,100,14.3,14.3,,,4800,,,8,,,14.7,13.3
"2024-04-11 21:00:00 EDT",1712883600,97.37,99.42,E,10,10,,100,14,14,,,4000,,,8,,,14,13
"2024-04-11 20:00:00 EDT",1712880000,97.46,99.52,E,8,5,,100,13.1,13.1,,,4800,,,8,,,13.1,12.7
"2024-04-11 19:00:00 EDT",1712876400,97.52,99.58,E,10,10,,100,12.8,12.8,,,4800,,,8,,,12.8,12.6
"2024-04-11 18:00:00 EDT",1712872800,97.68,99.74,ESE,10,9,,100,12.7,12.7,,,3200,,,8,,,13.1,12.6
"2024-04-11 17:00:00 EDT",1712869200,97.77,99.83,E,9,7,,100,12.8,12.8,,,1600,,,8,,,13.1,12.6
"2024-04-11 16:00:00 EDT",1712865600,97.87,99.93,WSW,26,6,,100,12.6,12.6,,,4800,,,8,,,12.6,11.3
"2024-04-11 15:00:00 EDT",1712862000,97.94,100,E,10,12,,100,11.9,11.9,,,6400,,,8,,,11.9,11.3
"2024-04-11 14:00:00 EDT",1712858400,98.05,100.11,E,8,11,,100,11.3,11.3,,,4800,,,8,,,11.3,10.4
"2024-04-11 13:00:00 EDT",1712854800,98.21,100.28,ENE,8,12,,100,10.5,10.5,,,4000,,,8,,,10.6,10
"2024-04-11 12:00:00 EDT",1712851200,98.32,100.39,E,9,14,,100,10.1,10.1,,,4800,,,8,,,10.2,9.6
"2024-04-11 11:00:00 EDT",1712847600,98.47,100.54,E,8,23,,100,9.9,9.9,,,6400,,,8,,,10,8.6
"2024-04-11 10:00:00 EDT",1712844000,98.56,100.63,ENE,6,16,,100,9.2,9.2,,,9700,,,8,,,9.2,8.4
"2024-04-11 09:00:00 EDT",1712840400,98.69,100.77,ENE,7,15,28,99,8.3,8.5,,,9700,,,8,,,8.5,8
"2024-04-11 08:00:00 EDT",1712836800,98.78,100.86,E,9,21,,100,8,8,,,9700,,,8,,,8.4,7.8
"2024-04-11 07:00:00 EDT",1712833200,98.81,100.89,ENE,8,12,,98,7.8,8.1,,,8100,,,8,,,8.9,8
"2024-04-11 06:00:00 EDT",1712829600,98.87,100.94,ENE,7,13,,88,6.8,8.7,,,9700,,,8,,,11.3,8.7
"2024-04-11 05:00:00 EDT",1712826000,98.99,101.06,ENE,8,9,,75,5.5,9.7,,,9700,,,8,,,11.4,9.7
"2024-04-11 04:00:00 EDT",1712822400,99.08,101.15,ESE,11,8,,60,4,11.4,,,24100,,,8,,,12.3,11.4
"2024-04-11 03:00:00 EDT",1712818800,99.11,101.18,E,10,10,,48,1.6,12.3,,,24100,,,8,,,12.7,12.3
"2024-04-11 02:00:00 EDT",1712815200,99.21,101.28,ENE,6,8,,48,1.8,12.6,,,24100,,,8,,,13.1,12.3
"2024-04-11 01:00:00 EDT",1712811600,99.28,101.36,E,8,7,,48,2.1,12.9,,,24100,,,7,,,13.3,12.8
"2024-04-11 00:00:00 EDT",1712808000,99.33,101.41,E,9,6,,45,1.5,13.2,,,24100,,,7,,,13.7,13.2
"2024-04-10 23:00:00 EDT",1712804400,99.37,101.45,ENE,7,5,,43,1.4,13.6,,,24100,,,7,,,14,13.3
