date_time_local,unixtime,pressure_station,pressure_sea,wind_dir,wind_dir_10s,wind_speed,wind_gust,relative_humidity,dew_point,temperature,windchill,humidex,visibility,health_index,cloud_cover_4,cloud_cover_8,cloud_cover_10,solar_radiation,max_air_temp_pst1hr,min_air_temp_pst1hr
"2024-04-07 21:00:00 EDT",1712538000,,,S,18,5,,36,-3.9,10.4,,,24100,,,,,,,
"2024-04-07 20:00:00 EDT",1712534400,,,SSE,15,9,,37,-3.5,10.7,,,24100,,,,,,,
"2024-04-07 19:00:00 EDT",1712530800,,,SE,14,12,,32,-3.4,12.8,,,24100,,,,,,,
"2024-04-07 18:00:00 EDT",1712527200,,,SSE,15,13,,32,-2.9,13.3,,,24100,,,,,,,
"2024-04-07 17:00:00 EDT",1712523600,,,SE,13,13,,30,-3.5,13.7,,,24100,,,,,,,
"2024-04-07 16:00:00 EDT",1712520000,,,SSE,15,12,,33,-1.9,14.3,,,24100,,,,,,,
"2024-04-07 15:00:00 EDT",1712516400,100.11,102.22,SSE,16,15,,30,-3,14.3,,,24100,,,0,,,15.2,13.9
"2024-04-07 14:00:00 EDT",1712512800,100.14,102.25,WSW,25,7,,35,-0.8,14.7,,,24100,,,0,,,14.8,12.9
"2024-04-07 13:00:00 EDT",1712509200,100.21,102.33,SSW,19,4,,37,-1.2,13,,,24100,,,0,,,13.1,11.8
"2024-04-07 12:00:00 EDT",1712505600,100.26,102.38,SSE,16,13,,39,-1.2,12.4,,,24100,,,0,,,12.7,11.2
"2024-04-07 11:00:00 EDT",1712502000,100.24,102.36,ESE,11,6,,42,-1.2,11.2,,,24100,,,0,,,11.6,9
"2024-04-07 10:00:00 EDT",1712498400,100.24,102.36,N,35,5,,50,-1,8.9,,,24100,,,0,,,8.9,6.5
"2024-04-07 09:00:00 EDT",1712494800,100.19,102.31,NNE,2,9,,57,-1.3,6.6,,,24100,,,0,,,6.6,4.7
"2024-04-07 08:00:00 EDT",1712491200,100.15,102.27,N,35,11,,60,-2.4,4.7,,,24100,,,0,,,4.7,3
"2024-04-07 07:00:00 EDT",1712487600,100.07,102.19,NNW,33,17,,65,-2.8,3.1,,,24100,,,0,,,3.3,2.4
"2024-04-07 06:00:00 EDT",1712484000,100.01,102.13,NNW,34,13,,66,-2.8,2.9,,,24100,,,0,,,3.3,2.9
"2024-04-07 05:00:00 EDT",1712480400,99.95,102.07,NNW,34,15,,66,-2.7,3.1,,,24100,,,0,,,3.4,3
"2024-04-07 04:00:00 EDT",1712476800,99.89,102.01,N,35,12,,65,-2.7,3.2,,,24100,,,0,,,3.6,3.1
"2024-04-07 03:00:00 EDT",1712473200,99.86,101.97,N,35,18,,63,-2.7,3.8,,,24100,,,0,,,4.3,3.5
"2024-04-07 02:00:00 EDT",1712469600,99.86,101.97,N,36,19,,61,-2.8,4.1,,,24100,,,0,,,4.7,3.9
"2024-04-07 01:00:00 EDT",1712466000,99.86,101.97,NNW,35,18,,57,-3.2,4.6,,,24100,,,0,,,5.8,4.5
"2024-04-07 00:00:00 EDT",1712462400,99.85,101.96,NNW,33,19,28,50,-3.7,5.8,,,24100,,,0,,,6.7,5.7
"2024-04-06 23:00:00 EDT",1712458800,99.83,101.94,NNW,34,21,31,46,-4.2,6.6,,,24100,,,0,,,7.6,6.6
"2024-04-06 22:00:00 EDT",1712455200,99.8,101.91,NW,32,19,,45,-3.7,7.6,,,24100,,,0,,,8.4,7.2
"2024-04-06 21:00:00 EDT",1712451600,99.76,101.87,NNW,33,21,,42,-3.8,8.5,,,24100,,,0,,,9,8.4
"2024-04-06 20:00:00 EDT",1712448000,99.73,101.85,N,35,23,35,41,-3.7,8.9,,,24100,,,0,,,10.1,8.9
"2024-04-06 19:00:00 EDT",1712444400,99.68,101.79,NNW,35,24,36,39,-3.2,10.2,,,24100,,,0,,,11.2,10.2
"2024-04-06 18:00:00 EDT",1712440800,99.62,101.73,NNW,34,19,41,37,-3.1,11,,,24100,,,0,,,11.9,10.8
"2024-04-06 17:00:00 EDT",1712437200,99.58,101.69,N,1,33,,35,-3.2,11.9,,,24100,,,0,,,12.2,11.5
"2024-04-06 16:00:00 EDT",1712433600,99.58,101.69,NW,32,26,45,41,-0.8,11.8,,,24100,,,0,,,12.5,11.3
"2024-04-06 15:00:00 EDT",1712430000,99.6,101.71,NNW,33,29,42,38,-1.9,11.9,,,24100,,,1,,,12.4,11.2
"2024-04-06 14:00:00 EDT",1712426400,99.63,101.74,NNW,33,26,37,40,-1.5,11.6,,,24100,,,1,,,11.8,10.6
"2024-04-06 13:00:00 EDT",1712422800,99.66,101.77,NNW,35,26,44,45,-0.2,11.3,,,24100,,,2,,,11.3,9.7
"2024-04-06 12:00:00 EDT",1712419200,99.68,101.79,NNW,34,32,46,50,-0.3,9.7,,,24100,,,6,,,9.7,8.6
"2024-04-06 11:00:00 EDT",1712415600,99.73,101.85,NNW,34,21,32,59,1.1,8.6,,,24100,,,4,,,8.6,6.8
"2024-04-06 10:00:00 EDT",1712412000,99.71,101.84,NNW,34,29,,61,0.1,7.1,,,24100,,,1,,,7.2,5.7
"2024-04-06 09:00:00 EDT",1712408400,99.66,101.79,NNW,34,26,39,69,0.5,5.8,,,24100,,,1,,,5.8,4.3
"2024-04-06 08:00:00 EDT",1712404800,99.65,101.78,NNW,33,28,39,77,0.6,4.3,,,24100,,,1,,,4.3,3.6
"2024-04-06 07:00:00 EDT",1712401200,99.61,101.74,NNW,33,28,,82,0.9,3.7,,,24100,,,2,,,4.5,3.7
"2024-04-06 06:00:00 EDT",1712397600,99.55,101.68,NNW,33,28,,79,1.2,4.5,,,24100,,,7,,,4.8,4.5
"2024-04-06 05:00:00 EDT",1712394000,99.5,101.62,NNW,34,27,36,79,1.5,4.8,,,24100,,,8,,,4.8,4.4
"2024-04-06 04:00:00 EDT",1712390400,99.46,101.58,NNW,34,23,32,79,1.4,4.7,,,24100,,,7,,,4.9,4.7
"2024-04-06 03:00:00 EDT",1712386800,99.46,101.58,NNW,34,24,35,78,1.3,4.9,,,24100,,,7,,,4.9,4.3
"2024-04-06 02:00:00 EDT",1712383200,99.43,101.55,NNW,34,24,37,79,1.2,4.5,,,24100,,,4,,,4.8,4.4
"2024-04-06 01:00:00 EDT",1712379600,99.39,101.51,NNW,34,27,,80,1.6,4.7,,,24100,,,7,,,4.7,4.4
"2024-04-06 00:00:00 EDT",1712376000,99.36,101.49,NNW,33,28,,82,1.7,4.4,,,24100,,,7,,,4.5,4.1
"2024-04-05 23:00:00 EDT",1712372400,99.32,101.45,NNW,34,27,,84,1.6,4.1,,,24100,,,5,,,4.2,3.8
"2024-04-05 22:00:00 EDT",1712368800,99.29,101.42,NNW,34,27,40,83,1.5,4.1,,,24100,,,6,,,4.5,4.1
"2024-04-05 21:00:00 EDT",1712365200,99.24,101.37,NNW,34,34,49,81,1.5,4.4,,,24100,,,7,,,4.7,4.4
